List of Canadian Companies on U.S. Exchanges

Symbol	Name	U.S. Exchange	Cross-list symbol	Cross-list exchange	GICS Sector	Industry	Market cap	Average Volume	Action
BGAVF	Bravada Gold Corporation	OTC markets			Materials	Other Industrial Metals & Mining	$7,912,141	34,400	Analyze
FRERF	Fremont Gold Ltd.	OTC markets			Unknown	Gold	$7,864,189	38,000	Analyze
INLAF	Interlapse Technologies Corp.	OTC markets			Unknown	Software—Application	$7,802,735	0	Analyze
GGBXF	Green Growth Brands Inc.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$7,744,428	742,193	Analyze
BHNGF	Bhang Inc.	OTC markets	CF:BHNG	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$7,686,866	113,436	Analyze
PMCCF	Peloton Minerals Corp.	OTC markets			Unknown	Gold	$7,679,909	12,500	Analyze
AISSF	A.I.S. Resources Limited	OTC markets			Unknown	Other Industrial Metals & Mining	$7,530,013	7,650	Analyze
FNNZF	FinCanna Capital Corp.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$7,401,730	5,001	Analyze
ABEPF	Vision Lithium Inc.	OTC markets			Unknown	Other Industrial Metals & Mining	$7,335,940	38,500	Analyze
OWRDF	One World Lithium Inc.	OTC markets			Unknown	Other Industrial Metals & Mining	$7,033,232	9,655	Analyze
ABNAF	Aben Resources Ltd.	OTC markets			Unknown	Gold	$6,835,801	665,465	Analyze
REPCF	RepliCel Life Sciences Inc.	OTC markets			Health Care	Biotechnology	$6,808,584	2,415	Analyze
LMSQF	Latin Metals Inc.	OTC markets			Unknown	Other Industrial Metals & Mining	$6,744,340	0	Analyze
TNREF	Taranis Resources Inc.	OTC markets			Unknown	Other Industrial Metals & Mining	$6,623,505	4,000	Analyze
MDEX	Madison Technologies Inc.	OTC markets			Unknown	Aerospace & Defense	$6,454,955	0	Analyze
IMEXF	Imagin Medical Inc.	OTC markets			Unknown	Medical Devices	$6,345,852	2,243	Analyze
SYATF	Siyata Mobile Inc.	OTC markets	CV:SIM	TSX Venture Exchange	Information Technology	Communication Equipment	$6,262,400	29,933	Analyze
FFRMF	Future Farm Technologies Inc	OTC markets			Unknown	Farm Products	$6,236,959	38,393	Analyze
CFGMF	California Gold Mining Inc.	OTC markets	CF:CGM	Canadian Securities Exchange	Materials	Gold	$6,159,242	3,175	Analyze
SSMLF	Nevada Energy Metals Inc.	OTC markets			Unknown	Other Industrial Metals & Mining	$5,901,148	250	Analyze
ISOLF	Isodiol International Inc	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$5,900,062	684,130	Analyze
CRRVF	CVR Medical Corp.	OTC markets			Unknown	Medical Devices	$5,813,382	52,500	Analyze
FDMSF	Fandom Sports Media Corp	OTC markets			Unknown	Software—Application	$5,792,700	100	Analyze
EEVVF	Eve & Co. Inc.	OTC markets	CV:EVE	TSX Venture Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$5,689,070	1,809,368	Analyze
TIMCF	TIMIA Capital Corp.	OTC markets			Unknown	Asset Management	$5,657,941	0	Analyze
MRRMF	Miramont Resources Corp	OTC markets			Unknown	Other Precious Metals & Mining	$5,633,093	31,628	Analyze
ATBHF	Aston Bay Holdings Ltd.	OTC markets			Unknown	Copper	$5,440,653	188,488	Analyze
IFRTF	International Frontier Resources Corporation	OTC markets			Energy	Oil & Gas E&P	$5,403,301	7,000	Analyze
RSSFF	Affinor Growers Inc.	OTC markets			Unknown	Farm Products	$5,382,365	1,400	Analyze
FERL	FEARLESS FILMS INC.	OTC markets			Unknown	Entertainment	$5,377,144	8,496	Analyze
ATOXF	Durango Resources Inc.	OTC markets			Unknown	Other Industrial Metals & Mining	$5,377,056	164,300	Analyze
ROVMF	Rover Metals Corp.	OTC markets			Unknown	Gold	$5,320,456	43,000	Analyze
VNNYF	Vinergy Cannabis Capital Inc.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$5,319,493	25,600	Analyze
RRRLF	Rockridge Resources Ltd.	OTC markets			Unknown	Other Industrial Metals & Mining	$5,255,250	300	Analyze
DMIFF	Diamcor Mining Inc.	OTC markets			Materials	Other Precious Metals & Mining	$5,002,860	0	Analyze
MKSEF	Marksmen Energy Inc.	OTC markets			Energy	Oil & Gas E&P	$4,918,044	0	Analyze
RIGMF	Ridgestone Mining Inc.	OTC markets			Unknown	Other Industrial Metals & Mining	$4,904,191	8,000	Analyze
CRBTF	Intellabridge Technology Corp.	OTC markets			Unknown	Software—Application	$4,709,752	1,000	Analyze
DXIEF	DXI Energy Inc.	OTC markets			Energy	Oil & Gas E&P	$4,644,052	17	Analyze
GZDIF	Grizzly Discoveries Inc	OTC markets			Unknown	Other Industrial Metals & Mining	$4,570,817	66,000	Analyze
PCRCF	Bolt Metals Corp.	OTC markets			Unknown	Other Industrial Metals & Mining	$4,516,212	10,137	Analyze
HSCHF	H-Source Holdings Ltd. Class A	OTC markets			Unknown	Health Information Services	$4,508,958	27,444	Analyze
WFTSF	Wavefront Technology Solutions Inc	OTC markets	CV:WEE	TSX Venture Exchange	Energy	Oil & Gas Equipment & Services	$4,431,172	3,755	Analyze
OSSPF	Osprey Gold Development Ltd	OTC markets			Unknown	Gold	$4,327,196	137,999	Analyze
TPPRF	Top Strike Resources Corp.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$4,102,855	0	Analyze
NVTQF	Trench Solutions Inc. Class A	OTC markets			Unknown	Computer Hardware	$4,003,408	0	Analyze
GGXXF	GGX Gold Corp.	OTC markets			Unknown	Gold	$3,995,076	5,000	Analyze
PNNRF	Redfund Capital Corp.	OTC markets			Unknown		$3,805,335	0	Analyze
STSBF	South Star Mining Corp	OTC markets			Unknown	Other Industrial Metals & Mining	$3,792,840	0	Analyze
IPCIF	Intellipharmaceutics International Inc.	OTC markets			Health Care	Biotechnology	$3,775,200	20,405	Analyze
GOCOF	Go Metals Corp.	OTC markets			Unknown	Other Industrial Metals & Mining	$3,737,977	800	Analyze
AGGHF	Agrios Global Holdings Ltd.	OTC markets			Unknown	Real Estate Services	$3,715,950	0	Analyze
CHNUF	China Education Resources Inc.	OTC markets			Consumer Discretionary	Education & Training Services	$3,694,469	0	Analyze
FLCX	flooidCX Corp.	OTC markets			Unknown	Consulting Services	$3,610,472	0	Analyze
PHVAF	Phivida Holdings Inc.	OTC markets	CF:VIDA	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$3,545,348	50,211	Analyze
NOBDF	North Bud Farms Inc.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$3,505,948	0	Analyze
VRSCF	Valterra Resource Corporation	OTC markets			Unknown	Other Industrial Metals & Mining	$3,480,364	0	Analyze
AREVF	AREV NanoTec Brands Inc.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$3,444,131	0	Analyze
VGGOF	Cryptologic Corp	OTC markets			Information Technology	Software—Application	$3,420,183	1,500	Analyze
CNENF	Claren Energy Corp.	OTC markets			Energy	Oil & Gas E&P	$3,409,197	0	Analyze
KPIFF	Edgewater Wireless Systems Inc.	OTC markets			Unknown	Communication Equipment	$3,394,773	5,000	Analyze
FNHI	Franchise Holdings International Inc.	OTC markets			Unknown	Auto Parts	$3,351,677	64,599	Analyze
CNNXF	CannAmerica Brands Corp.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$3,308,773	40,176	Analyze
IMAHF	I-Minerals Inc.	OTC markets			Materials	Other Industrial Metals & Mining	$3,168,081	20,000	Analyze
CHMJF	Chemistree Technology Inc	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$3,146,898	85,544	Analyze
MGHCF	Minco Capital Corporation	OTC markets			Financials	Asset Management	$3,090,057	11,621	Analyze
TUMIF	Kingsmen Resources Limited	OTC markets			Unknown	Other Industrial Metals & Mining	$3,083,561	0	Analyze
TOKIF	Tree of Knowledge International Corp.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$2,923,768	0	Analyze
PNXLF	Argentina Lithium & Energy Corp.	OTC markets			Unknown	Other Industrial Metals & Mining	$2,913,284	6,000	Analyze
WCTXF	Fuse Cobalt Inc.	OTC markets			Materials	Other Industrial Metals & Mining	$2,805,050	50,540	Analyze
SNNVF	Sunniva Inc	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$2,729,641	65,797	Analyze
MLGCF	M3 Metals Corp.	OTC markets			Unknown	Other Industrial Metals & Mining	$2,715,348	10,000	Analyze
HEYBF	HeyBryan Media Inc.	OTC markets			Unknown	Software—Application	$2,712,244	0	Analyze
EVAHF	EGF Theramed Health Corp.	OTC markets			Unknown	Health Information Services	$2,583,387	70,701	Analyze
BLEVF	Beleave Inc.	OTC markets	CF:BE	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$2,549,301	26,380	Analyze
SPFYF	Spacefy Inc.	OTC markets			Unknown	Internet Content & Information	$2,472,948	0	Analyze
RGDCF	Gaia Metals Corp.	OTC markets			Unknown	Other Industrial Metals & Mining	$2,415,425	0	Analyze
SLSDF	Select Sands Corp.	OTC markets			Materials	Other Industrial Metals & Mining	$2,396,513	6,500	Analyze
WKULF	Weekend Unlimited Industries Inc.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$2,275,640	640	Analyze
NOSUF	Nerds On Site Inc.	OTC markets			Unknown	Information Technology Services	$2,125,302	0	Analyze
LPPPF	LOOPShare Ltd.	OTC markets			Unknown	Software—Application	$1,767,386	4,866	Analyze
CPPXF	Continental Energy Corporation	OTC markets			Energy	Oil & Gas E&P	$1,747,154	0	Analyze
CPMMF	Crystal Peak Minerals Inc.	OTC markets	CV:CPM	TSX Venture Exchange	Materials	Other Industrial Metals & Mining	$1,477,780	0	Analyze
OILCF	Permex Petroleum Corp.	OTC markets			Energy	Oil & Gas E&P	$1,383,132	50,411	Analyze
NABIF	Nabis Holdings Inc.	OTC markets			Unknown	Drug Manufacturers—Specialty & Generic	$1,339,024	100	Analyze
JPOTD	Jackpot Digital Inc	OTC markets			Unknown	Gambling	$1,291,930	300	Analyze
SRBBF	VPN Technologies Inc.	OTC markets			Unknown	Software—Application	$1,288,657	14,000	Analyze
CYBXF	Gallagher Security Corp.	OTC markets			Unknown	Software—Application	$1,277,506	0	Analyze
VLEOD	Voleo Trading Systems Inc.	OTC markets			Unknown	Software—Application	$901,485	9,000	Analyze
LFCOF	Lift & Co Corp	OTC markets			Unknown	Health Information Services	$666,409	6,166	Analyze
HHHEF	37 Capital Incorporated	OTC markets			Materials	Other Industrial Metals & Mining	$520,033	0	Analyze
ZIMCF	ZIM Corporation	OTC markets			Unknown	Software—Application	$503,950	0	Analyze
FTPLF	Fortress Global Enterprises Inc. Class A	OTC markets	CT:FGE	Toronto Stock Exchange	Materials	Other	$194,633	0	Analyze
